Number,Time,Amount,Tag,Class
105,0,23,1,0
105,0.25,23,1,0
105,0.5,22.9,1,0
105,0.75,22.7,1,0
105,1,22.8,1,0
105,1.25,23.3,1,0
105,1.5,23.2,1,0
105,1.75,23.1,1,0
105,2,23,1,0
105,2.25,23,1,0
105,2.5,23.3,1,0
105,2.75,23.1,1,0
105,3,23.2,1,0
105,3.25,23.2,1,0
105,3.5,23.3,1,0
105,3.75,23.1,1,0
105,4,23.1,1,0
105,4.25,23.2,1,0
105,4.5,23.2,1,0
105,4.75,23.2,1,0
105,5,23.1,1,0
105,5.25,23.4,1,0
105,5.5,23.1,1,0
105,5.75,23,1,0
105,6,23.1,1,0
105,6.25,23,1,0
105,6.5,22.1,1,0
105,6.75,22,1,0
105,7,21.9,1,0
105,7.25,22,1,0
105,7.5,21.6,1,0
105,7.75,21.6,1,1
105,8,21.9,1,1
105,8.25,21.7,1,1
105,8.5,21.2,1,1
105,8.75,20.4,1,1
105,9,26.3,1,1
105,9.25,23.9,1,1
105,9.5,22.1,1,1
105,9.75,21.9,1,1
105,10,21.4,1,1
105,10.25,20.9,1,1
105,10.5,20.4,1,1
105,10.75,18,1,1
105,11,19.4,1,1
105,11.25,18.4,1,1
105,11.5,18.6,1,1
105,11.75,19.2,1,1
105,12,18.3,1,1
105,12.25,19.4,1,1
105,12.5,19.4,1,1
105,12.75,19.3,1,1
105,13,19,1,1
105,13.25,18.8,1,1
105,13.5,18.4,1,1
105,13.75,18.7,1,1
105,14,18.5,1,1
105,14.25,18.9,1,1
105,14.5,18.6,1,1
105,14.75,17.7,1,1
105,15,18.1,1,1
105,15.25,17.9,1,1
105,15.5,18.3,1,1
105,15.75,19.3,1,1
105,16,20.2,1,1
105,16.25,21,1,1
105,16.5,20.9,1,1
105,16.75,21.1,1,1
105,17,22.7,1,1
105,17.25,23.3,1,1
105,17.5,23.2,1,1
105,17.75,23,1,1
105,18,23.1,1,1
105,18.25,23.4,1,1
105,18.5,23.6,1,1
105,18.75,23.3,1,1
105,19,23.7,1,1
105,19.25,23.7,1,1
105,19.5,23.3,1,1
105,19.75,23,1,1
105,20,22.4,1,0
105,20.25,22,1,0
105,20.5,21.7,1,0
105,20.75,22.5,1,0
105,21,22.5,1,0
105,21.25,22.5,1,0
105,21.5,22.2,1,0
105,21.75,22.2,1,0
105,22,22.2,1,0
105,22.25,22.5,1,0
105,22.5,23.3,1,0
105,22.75,23,1,0
105,23,22.8,1,0
105,23.25,22.8,1,0
105,23.5,22.8,1,0
105,23.75,22.8,1,0
105,0,23,1,0
105,0.25,23,1,0
105,0.5,22.4,1,0
105,0.75,22.2,1,0
105,1,22.5,1,0
105,1.25,23,1,0
105,1.5,22.7,1,0
105,1.75,22.6,1,0
105,2,22.7,1,0
105,2.25,22.7,1,0
105,2.5,22.6,1,0
105,2.75,22.7,1,0
105,3,22.5,1,0
105,3.25,22.6,1,0
105,3.5,22.6,1,0
105,3.75,22.5,1,0
105,4,22.6,1,0
105,4.25,22.6,1,0
105,4.5,22.5,1,0
105,4.75,22.6,1,0
105,5,22.5,1,0
105,5.25,22.4,1,0
105,5.5,22.4,1,0
105,5.75,22.4,1,0
105,6,22.2,1,0
105,6.25,22.3,1,0
105,6.5,22,1,0
105,6.75,21.7,1,0
105,7,22,1,0
105,7.25,21.7,1,0
105,7.5,21.6,1,0
105,7.75,21.5,1,1
105,8,21.7,1,1
105,8.25,21.6,1,1
105,8.5,21.6,1,1
105,8.75,21.8,1,1
105,9,25.8,1,1
105,9.25,23.4,1,1
105,9.5,20.5,1,1
105,9.75,19.5,1,1
105,10,19.2,1,1
105,10.25,19.4,1,1
105,10.5,19,1,1
105,10.75,19,1,1
105,11,18.8,1,1
105,11.25,18.2,1,1
105,11.5,18.1,1,1
105,11.75,18.6,1,1
105,12,18.8,1,1
105,12.25,18.9,1,1
105,12.5,18.8,1,1
105,12.75,18,1,1
105,13,17.5,1,1
105,13.25,17.4,1,1
105,13.5,17.9,1,1
105,13.75,17.9,1,1
105,14,18,1,1
105,14.25,18.4,1,1
105,14.5,18.2,1,1
105,14.75,17.6,1,1
105,15,17.7,1,1
105,15.25,18.3,1,1
105,15.5,21.2,1,1
105,15.75,21.8,1,1
105,16,21.3,1,1
105,16.25,20.9,1,1
105,16.5,22.5,1,1
105,16.75,23.7,1,1
105,17,24.6,1,1
105,17.25,23.8,1,1
105,17.5,25.1,1,1
105,17.75,24.3,1,1
105,18,24.9,1,1
105,18.25,24.8,1,1
105,18.5,24.3,1,1
105,18.75,24,1,1
105,19,24.1,1,1
105,19.25,24.5,1,1
105,19.5,23.6,1,1
105,19.75,23.3,1,1
105,20,22.8,1,0
105,20.25,23.3,1,0
105,20.5,23.1,1,0
105,20.75,23.2,1,0
105,21,22.8,1,0
105,21.25,23.1,1,0
105,21.5,23.8,1,0
105,21.75,23.8,1,0
105,22,23.8,1,0
105,22.25,23.8,1,0
105,22.5,23.8,1,0
105,22.75,23.5,1,0
105,23,23.4,1,0
105,23.25,23.5,1,0
105,23.5,23.6,1,0
105,23.75,23.8,1,0
105,0,23.5,1,0
105,0.25,23.3,1,0
105,0.5,23.4,1,0
105,0.75,23.5,1,0
105,1,23.5,1,0
105,1.25,23.3,1,0
105,1.5,23.5,1,0
105,1.75,23.4,1,0
105,2,23.5,1,0
105,2.25,24,1,0
105,2.5,23.5,1,0
105,2.75,23.8,1,0
105,3,23.8,1,0
105,3.25,23.8,1,0
105,3.5,23.5,1,0
105,3.75,23.3,1,0
105,4,23.3,1,0
105,4.25,23.3,1,0
105,4.5,23.9,1,0
105,4.75,23.9,1,0
105,5,23.6,1,0
105,5.25,23.4,1,0
105,5.5,23.3,1,0
105,5.75,23.4,1,0
105,6,23.3,1,0
105,6.25,23.4,1,0
105,6.5,23,1,0
105,6.75,22.6,1,0
105,7,22,1,0
105,7.25,22.1,1,0
105,7.5,21.9,1,0
105,7.75,21.7,1,1
105,8,22.3,1,1
105,8.25,22.3,1,1
